"V1","V2","V3","V4","V5","V6","V7"
"Rice, paddy","370181.158375555","-27829.6285110553","15.5790206018172","516.41046171524","-0.00985147285087902","343604.161995939"
"Maize","34213.3316187404","-3195.57880264604","15.2898542149493","64.7164670975991","-0.0101599414413037","146643.838452512"
"Millet","21719.575470816","-1732.68494985513","5.24603995362216","32.39504932086","-0.0034062973111599","10591.1565217106"
"Sorghum","34923.3708453622","-2479.05767700889","3.92290866636089","43.2281542170079","-0.00261612918524165","21374.0140097025"
"Fonio","-39353.605626613","2870.54871909544","-4.97823559727755","-49.6826000286893","0.00390797215816031","8637.62179350423"
"Cereals, nes","31195.1339983344","-2429.33821476511","3.90340300233211","45.7035510038036","-0.0025465696876302","14760.6846974799"
"Potatoes","-1482490.5291574","97136.9048221093","95.972525763043","-1605.40368621951","-0.0644882408934167","21660459.0032419"
"Sweet potatoes","2554776.89442941","-197088.24299884","127.438921047877","3723.48240520414","-0.0742245000116323","49899061.6393893"
"Cassava","558721.444618659","-42188.9142936624","24.8737850744967","785.704656077491","-0.0136022855261302","1925858.26073167"
"Sugar cane","-21733219.0072455","1507796.59432782","348.18372759672","-26180.1592547167","-0.210985034032933","575644838.228533"
"Cow peas, dry","-11504.3409897189","773.410897011216","2.14727904816349","-13.5800212493317","-0.00136562003211075","8675.48622098992"
"Pulses, nes","107427.671879047","-7603.82512923116","1.38023963655254","134.593252846209","-0.000992527905833049","21180.774545893"
"Cashew nuts, with shell","-14850.1881416193","961.820747903607","0.66460464764589","-15.4267001099426","-0.000400518113875926","2830.88443307417"
"Nuts, nes","79715.8331064903","-7276.72759839728","24.3390130735214","149.328268667358","-0.0167366372760614","901579.983740935"
"Groundnuts, with shell","50600.8726067807","-3684.12110856509","6.27537221215867","64.7884502733653","-0.00363183465516612","16798.8852014545"
"Coconuts","-260886.150624993","18017.7671693015","1.01304936904227","-308.004955879656","0.0000159135296795953","503903.034412629"
"Oil, palm fruit","304610.50786774","-21290.1492661056","-0.48635026071905","384.563388438345","0.000656488582530455","72981.8996350891"
"Sesame seed","-104222.158777119","7178.14209632961","4.68117094711708","-125.188547938218","-0.0029922832299013","10170.806442107"
"Melonseed","114642.520892581","-7850.74466003888","-3.0490689941617","135.828807487957","0.00228165824272188","29625.9408714787"
"Seed cotton","60351.351337138","-4227.99277038785","1.700249545144","74.7177033889256","-0.00154442150649255","65028.6520132135"
"Cabbages and other brassicas","266452.817335594","-26645.6482851438","125.352618014252","567.882922838591","-0.082601614647046","16128523.1487756"
"Tomatoes","-493718.111875854","25100.9351164018","190.959320642502","-321.78440465069","-0.142023580691859","60890491.6235421"
"Pumpkins, squash and gourds","11647639.9326321","-814433.560247246","183.240267236953","14192.0839040229","-0.135673114512129","10086009.4540791"
"Eggplants (aubergines)","8155466.63737232","-575988.881905377","169.63023645358","10117.6592475164","-0.130552051471458","5506171.75726877"
"Onions, dry","1117924.15483289","-85546.5442917376","93.4086326209736","1607.71291682768","-0.0606240291781704","11934819.361302"
"Beans, green","-2084540.0491861","140622.246962181","33.3555667925403","-2373.33891430975","-0.0172907757391801","3380103.27202616"
"Carrots and turnips","-1735881.16690309","119802.879634527","51.4904714032262","-2060.00667126746","-0.0518063079087834","3480011.80733172"
"Okra","-106065.856668883","-10610.9061936277","-44.8550401523992","528.866670846968","0.0428950227887255","25784577.8531243"
"Vegetables, fresh nes","35027644.7677368","-2454289.96278867","419.424782379526","42826.6572335571","-0.309490247924683","15710244.3098272"
"Bananas","1015687.16116461","-80522.4696811123","106.988186397302","1551.80663558628","-0.0729419520840294","9803230.58057551"
"Oranges","274843.129823922","-23430.067753343","79.4711660735081","457.996856375469","-0.0567716208723012","1624889.81240949"
"Watermelons","744290.435091455","-47146.8324008511","7.65344434025965","756.444777887394","-0.0121002189460467","5121517.12249506"
"Mangoes, mangosteens, guavas","358201.671062642","-27568.1257061556","42.2355244191751","516.185294480128","-0.0294707767218094","610491.300945208"
"Fruit, tropical fresh nes","-327430.466394309","20766.7757993493","44.364193013927","-339.510708806734","-0.0276049777124365","583374.031062557"
"Fruit, fresh nes","171185.760580554","-12904.9708975162","51.5337976243594","225.773092965941","-0.0363166665879925","935497.07760583"
"Chillies and peppers, dry","173926.499234376","-12667.4271911844","0.320088644180667","238.089947217191","0.000263402420860923","712232.776958388"
"Cereals,Total","63399.4226746901","-4895.17150890011","7.55867240012488","91.24524050905","-0.00487214778230665","23311.9859686604"
"Roots and Tubers,Total","699454.075195069","-52691.6758640967","20.725856913296","983.967992593914","-0.0110830794778237","2312512.34170713"
"Pulses,Total","-10956.7004124013","736.317840077811","2.12228995020984","-12.939682802396","-0.0013500950953638","8586.72538166271"
"Treenuts,Total","82763.4960364524","-5140.51578175668","-9.69027604923449","83.8401392035565","0.00621543175895366","68404.6498501367"
"Oilcrops Primary","13334.7227228568","-969.043433650186","1.70394233133925","17.0087781375294","-0.000965954215924618","1336.25774339306"
"Vegetables Primary","-4291066.92861546","324803.004006293","-263.368972630665","-5976.69983272939","0.183674704862401","30691761.6673068"
"Fibre Crops Primary","7983.34621898248","-544.678610374645","0.935578660572154","9.41105249285823","-0.000790161380665009","10437.2761406683"
"Vegetables&Melons, Total","-4291066.92861546","324803.004006293","-263.368972630665","-5976.69983272939","0.183674704862401","30691761.6673068"
"Fruit excl Melons,Total","493415.43294066","-35401.0038839937","7.82161108320684","640.064502770445","-0.00559626595356486","594352.230769788"
"Citrus Fruit,Total","274843.129823922","-23430.067753343","79.4711660735081","457.996856375469","-0.0567716208723012","1624889.81240949"
"Coarse Grain, Total","24948.7249266696","-2050.84539958443","6.95444268392287","38.948737360367","-0.00455727141420385","14936.6857410504"
"Cereals (Rice Milled Eqv)","48234.7034141289","-3771.13167999355","7.19884320688979","70.5865432843903","-0.00467107272580988","18803.4951187162"
"Oilcakes Equivalent","16195.2236867679","-1175.45349531306","2.18578815331228","20.5654631362453","-0.00125194954921756","2109.54140786923"
